,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.477457094192505,0.3204711148960321,0.16321487426757814,0.042857663518193874,1,1,"{'C': 1, 'degree': 1}",0.8542713567839195,0.8059701492537313,0.8258706467661691,0.8292682926829268,0.8543689320388349,0.8339498755051163,0.018438854123462432,25
1,1.2191712856292725,0.07383807669479037,0.13713569641113282,0.0026618522046723664,1,2,"{'C': 1, 'degree': 2}",0.8712871287128712,0.8099999999999999,0.8390243902439024,0.8309178743961353,0.8529411764705882,0.8408341139646994,0.02062191339759098,12
2,1.2213608264923095,0.02516880601070119,0.14252777099609376,0.002583071886275902,1,3,"{'C': 1, 'degree': 3}",0.8682926829268292,0.8040201005025125,0.8571428571428571,0.8461538461538461,0.8627450980392157,0.8476709169530523,0.023021299263349268,2
3,1.2370763778686524,0.02390455310827227,0.14783668518066406,0.002133547420990437,1,4,"{'C': 1, 'degree': 4}",0.8669950738916256,0.8080808080808081,0.85,0.8358208955223881,0.8399999999999999,0.8401793554989643,0.019312549802904238,13
4,1.287794303894043,0.02967715939266774,0.15327138900756837,0.0015131093102079185,1,5,"{'C': 1, 'degree': 5}",0.8472906403940887,0.8080808080808081,0.8457711442786069,0.8177339901477833,0.8383838383838383,0.8314520842570252,0.015737517032735477,28
5,1.3588222026824952,0.03850551262345081,0.15837740898132324,0.0008553378755717044,1,6,"{'C': 1, 'degree': 6}",0.8514851485148516,0.8121827411167513,0.836734693877551,0.793969849246231,0.8307692307692308,0.825028332704923,0.01999799251571628,36
6,1.3840656280517578,0.029218687516010672,0.16203546524047852,0.0013619959690240023,1,7,"{'C': 1, 'degree': 7}",0.8514851485148516,0.8121827411167513,0.8020833333333334,0.7738693467336684,0.826530612244898,0.8132302363887005,0.025748664540910803,42
7,1.1310012817382813,0.022601900613742624,0.12612905502319335,0.0022958253188428805,2,1,"{'C': 2, 'degree': 1}",0.88,0.8058252427184465,0.8252427184466019,0.825242718446602,0.8472906403940887,0.836720264001148,0.025309440330401244,23
8,1.1201773643493653,0.010001320184813924,0.1291707992553711,0.0012068538652643633,2,2,"{'C': 2, 'degree': 2}",0.8780487804878048,0.8078817733990147,0.8390243902439024,0.8365384615384616,0.835820895522388,0.8394628602383143,0.02239752914111364,16
9,1.1958678245544434,0.020059399157788982,0.13658623695373534,0.0022923301161018967,2,3,"{'C': 2, 'degree': 3}",0.8846153846153847,0.7999999999999999,0.8457711442786069,0.8472906403940887,0.8399999999999999,0.8435354338576161,0.02688678346404135,5
10,1.245059871673584,0.0203984449293707,0.1452054500579834,0.0020930633328318337,2,4,"{'C': 2, 'degree': 4}",0.8725490196078431,0.8140703517587939,0.8415841584158416,0.8137254901960784,0.8629441624365481,0.8409746364830211,0.02427480079099237,10
11,1.2938429832458496,0.022922257814690268,0.15198168754577637,0.002473135053732928,2,5,"{'C': 2, 'degree': 5}",0.8640776699029126,0.8241206030150753,0.86,0.8177339901477833,0.8484848484848484,0.8428834223101239,0.01875146215107347,8
12,1.2725091934204102,0.02546180000858246,0.15431275367736816,0.0025476619334094067,2,6,"{'C': 2, 'degree': 6}",0.8529411764705882,0.8061224489795918,0.8484848484848484,0.8078817733990149,0.8241206030150753,0.8279101700698236,0.01969807582119751,31
13,1.3272442817687988,0.039215416594947844,0.15647850036621094,0.0023285491118725343,2,7,"{'C': 2, 'degree': 7}",0.8502415458937198,0.8061224489795918,0.8307692307692308,0.7881773399014778,0.8282828282828283,0.8207186787653697,0.02145608676341925,37
14,1.0680211544036866,0.02318117911325082,0.11958518028259277,0.002644201420342951,3,1,"{'C': 3, 'degree': 1}",0.88,0.8097560975609757,0.8275862068965517,0.826923076923077,0.8529411764705882,0.8394413115702385,0.024518218515020063,17
15,1.0960330486297607,0.029474157300908434,0.12498445510864258,0.0021312619036336074,3,2,"{'C': 3, 'degree': 2}",0.8888888888888888,0.8118811881188118,0.8431372549019608,0.8530805687203792,0.835820895522388,0.8465617592304857,0.025155183076291374,3
16,1.2010725021362305,0.013887737836946645,0.13698334693908693,0.0008349178366305611,3,3,"{'C': 3, 'degree': 3}",0.8899521531100479,0.8059701492537313,0.835820895522388,0.8133971291866029,0.8399999999999999,0.8370280654145541,0.029442364089832307,22
17,1.3981905937194825,0.10954226722812195,0.1626049041748047,0.016950953890932596,3,4,"{'C': 3, 'degree': 4}",0.8792270531400966,0.8040201005025125,0.8557213930348259,0.8195121951219512,0.8542713567839195,0.842550419716661,0.027097511451718206,9
18,1.3615729808807373,0.02026215024885486,0.1574650764465332,0.0027161069487277073,3,5,"{'C': 3, 'degree': 5}",0.8599033816425121,0.8140703517587939,0.8472906403940887,0.7980295566502462,0.8484848484848484,0.833555755786098,0.02344147626502972,26
19,1.3203614234924317,0.03769080362175262,0.1608128547668457,0.0026825513112680617,3,6,"{'C': 3, 'degree': 6}",0.8516746411483254,0.8102564102564102,0.8341708542713568,0.8039215686274509,0.83,0.8260046948607087,0.01718876201067008,34
20,1.3276124000549316,0.025235559353927874,0.16194868087768555,0.0013801544838778648,3,7,"{'C': 3, 'degree': 7}",0.8461538461538461,0.797979797979798,0.8307692307692308,0.7745098039215687,0.83,0.8158825357648887,0.025959505687233476,40
21,1.032737922668457,0.018696170970098656,0.1197512149810791,0.002194715228801755,4,1,"{'C': 4, 'degree': 1}",0.8823529411764707,0.8365384615384616,0.8390243902439024,0.826923076923077,0.8571428571428571,0.8483963454049537,0.01959130458442325,1
22,1.120667028427124,0.04168880838628919,0.1448124885559082,0.03493390336458429,4,2,"{'C': 4, 'degree': 2}",0.8792270531400966,0.8137254901960784,0.8415841584158416,0.8301886792452831,0.8399999999999999,0.8409450761994599,0.021556517767101577,11
23,1.2126255989074708,0.027363560534243197,0.1436000347137451,0.0014469566752092348,4,3,"{'C': 4, 'degree': 3}",0.8899521531100479,0.8159203980099503,0.8374384236453202,0.8137254901960784,0.8426395939086295,0.8399352117740054,0.027491463546408145,15
24,1.2741044521331788,0.03153592917370405,0.15347900390625,0.002667519959375694,4,4,"{'C': 4, 'degree': 4}",0.8803827751196173,0.8040201005025125,0.8374384236453202,0.8195121951219512,0.8585858585858587,0.8399878705950521,0.027192156663692388,14
25,1.2757715702056884,0.03894331209057907,0.1558292865753174,0.0033779754147174996,4,5,"{'C': 4, 'degree': 5}",0.8476190476190476,0.8080808080808081,0.8457711442786069,0.8,0.86,0.8322941999956927,0.02372043016957361,27
26,1.3128411769866943,0.018042545862625402,0.1611473560333252,0.002821370465189377,4,6,"{'C': 4, 'degree': 6}",0.8436018957345971,0.797979797979798,0.8457711442786069,0.7941176470588235,0.8442211055276382,0.8251383181158927,0.02379343286773949,35
27,1.363819408416748,0.019086581795295838,0.16293892860412598,0.0017134496256782036,4,7,"{'C': 4, 'degree': 7}",0.8421052631578948,0.7939698492462312,0.8341708542713568,0.7745098039215687,0.8341708542713568,0.8157853249736817,0.02663973776323841,41
28,1.1062829494476318,0.06343800677239066,0.11651215553283692,0.0022524795633541757,5,1,"{'C': 5, 'degree': 1}",0.8768472906403941,0.8309178743961353,0.8333333333333333,0.8285714285714286,0.8514851485148516,0.8442310150912287,0.018208051599562392,4
29,1.116024875640869,0.033823335600657436,0.12739787101745606,0.0027013944971313094,5,2,"{'C': 5, 'degree': 2}",0.8803827751196173,0.8155339805825242,0.8415841584158416,0.8095238095238095,0.8457711442786069,0.8385591735840799,0.025233266054182663,20
30,1.24951491355896,0.03140063012640763,0.1440786361694336,0.0013754067464793246,5,3,"{'C': 5, 'degree': 3}",0.8899521531100479,0.8159203980099503,0.8415841584158416,0.8229665071770335,0.846938775510204,0.8434723984446155,0.025905802897249024,6
31,1.3295657634735107,0.02679136576503288,0.15441174507141114,0.0025851598599638116,5,4,"{'C': 5, 'degree': 4}",0.8761904761904761,0.8040201005025125,0.8415841584158416,0.8076923076923077,0.8673469387755103,0.8393667963153296,0.02965282651194596,18
32,1.3427135467529296,0.04913448750775178,0.15864434242248535,0.0018467820192225135,5,5,"{'C': 5, 'degree': 5}",0.8476190476190476,0.8040201005025125,0.8457711442786069,0.7922705314009661,0.864321608040201,0.8308004863682669,0.027685363266030005,29
33,1.3256546974182128,0.03209864756221431,0.1611161708831787,0.004815792105819851,5,6,"{'C': 5, 'degree': 6}",0.8436018957345971,0.797979797979798,0.85,0.7941176470588235,0.8484848484848484,0.8268368378516134,0.02525672111421999,33
34,1.3528556823730469,0.03901598450781978,0.16166110038757325,0.0021628263760743987,5,7,"{'C': 5, 'degree': 7}",0.8476190476190476,0.7939698492462312,0.8341708542713568,0.7745098039215687,0.836734693877551,0.817400849787151,0.028131205661016,39
35,1.0234872341156005,0.018667627916451136,0.11338496208190918,0.0017134111583547895,6,1,"{'C': 6, 'degree': 1}",0.8768472906403941,0.8195121951219512,0.8374384236453202,0.8309178743961353,0.8514851485148516,0.8432401864637304,0.01972781919003413,7
36,1.100291109085083,0.012918960947008739,0.12846131324768068,0.0015505650597292444,6,2,"{'C': 6, 'degree': 2}",0.8803827751196173,0.8155339805825242,0.8292682926829268,0.7999999999999999,0.8557213930348259,0.8361812882839788,0.028701127425738146,24
37,1.1896399021148683,0.022673200966483936,0.14414215087890625,0.0013563384737602213,6,3,"{'C': 6, 'degree': 3}",0.8899521531100479,0.8159203980099503,0.8292682926829268,0.8190476190476189,0.8410256410256409,0.839042820775237,0.026928377674913094,19
38,1.2280068397521973,0.036435379045672595,0.15293173789978026,0.002678746058074897,6,4,"{'C': 6, 'degree': 4}",0.8720379146919431,0.8099999999999999,0.8431372549019608,0.8019323671497584,0.8629441624365481,0.838010339836042,0.02790002103591825,21
39,1.290156078338623,0.02611967372341743,0.15725994110107422,0.003152310928817929,6,5,"{'C': 6, 'degree': 5}",0.8530805687203792,0.797979797979798,0.8457711442786069,0.7922705314009661,0.8542713567839195,0.8286746798327339,0.027606391198040772,30
40,1.301292610168457,0.015445985944096461,0.15930137634277344,0.002197692432483839,6,6,"{'C': 6, 'degree': 6}",0.839622641509434,0.797979797979798,0.8484848484848484,0.8,0.852791878172589,0.8277758332293338,0.023892732418276857,32
41,1.3361342906951905,0.03221767780924227,0.16193761825561523,0.002880507625348965,6,7,"{'C': 6, 'degree': 7}",0.8380952380952381,0.7939698492462312,0.83,0.7745098039215687,0.8512820512820513,0.8175713885090177,0.02871738251576439,38
